Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMN03142844,-18.572204697613905,-29.91772921753676,28.794598190832343,4.481793644736848,-18.406752233283836,-7.799422546410796,3.811349158832991,-3.5056712028939723,13.630827760633178,-6.107861115117576,-13.262975,4.5149436,PRJNA264829,Post-pubertal,Unknown,Chinese Wuzhishan,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN03142845,-27.476636188240047,-20.25584014308795,26.505572534523875,0.20714544715555439,-18.87876032154485,-14.268089534785855,-1.6786497219405314,1.5356658575432025,-0.12315558088889683,-16.841793934094714,-13.488206,4.2621436,PRJNA264829,Post-pubertal,Unknown,Chinese Wuzhishan,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04028024,-15.343724198312866,-22.524328316908957,17.418843099621686,5.191823063843652,-21.985398826798303,-16.912672550400988,0.1566892376004282,-1.2486228790651825,-12.25016035459955,4.53707730453252,-13.309879,4.185714,PRJNA294650,Pre-pubertal,Male,Mini-pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04028025,-10.549043865104274,-22.000538602163104,18.305981481209535,-3.886743026791725,-9.517262980037954,0.5258824314295647,-0.2450444063137748,-12.716786460799108,-6.898427701083655,18.689726932096377,-12.633419,4.373602,PRJNA294650,Pre-pubertal,Male,Mini-pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04028026,24.54454324524677,-30.927510178186466,58.52473632603605,-30.366896667684927,50.75555533213281,-28.873775400290477,-5.181637647566144,-87.65019316869457,80.14244167476916,30.35045709877193,-11.754739,4.647389,PRJNA294650,Pre-pubertal,Male,Mini-pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04028027,28.52255444441674,-27.044959238869215,60.78201105544045,-33.06947335994067,45.22676604590668,-29.913344399726764,-5.236755240232018,-83.24899352579989,82.35682086424613,30.407131482447404,-11.996817,4.883721,PRJNA294650,Pre-pubertal,Male,Mini-pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04028028,-19.522166932436697,-19.034103600357113,19.874486711523993,-0.09034611210704964,-17.108222379358548,-16.965416804735508,-4.233469982913138,8.218239006476733,-12.459081484123452,6.923801243290658,-13.692674,3.823553,PRJNA294650,Pre-pubertal,Male,Mini-pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04028029,-69.79387424466519,-19.559809903474513,-8.687908756557785,35.27771844390805,8.712587560754189,-11.42959673245039,6.213233641733303,16.496040264014706,2.2747200511023618,16.465221231896876,-15.477512,-0.85636264,PRJNA294650,Pre-pubertal,Male,Mini-pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04028031,-25.473730348009134,-24.18752672040567,10.457029002226628,25.067156804559662,-1.0674061366300491,-27.04134306229524,-7.854569654685649,1.5704529830470282,-11.80696082858996,-3.3477591145570056,-13.388567,3.9158053,PRJNA294650,Pre-pubertal,Male,Mini-pig,ILLUMINA,Illumina HiSeq 2000,Liver
SAMN04320383,-35.6912874337673,62.19804136383994,29.31188829987044,-31.1009658451158,10.060010076411848,-15.778766648615466,26.062276768846996,-2.0187287591411707,-15.286320334114437,-16.788081412186507,-12.996172,6.0783215,PRJNA305196,Adult,Female,Bama Xiang,ILLUMINA,Illumina Genome Analyzer II,Liver
